gender,race,age,gpa,years_experience,education_level,skills_score,resume_quality,education_encoded,biased_hiring_score,hired_biased,true_hiring_score,hired_true,age_group,original_prediction,mitigated_prediction
Male,Hispanic,23,2.2311049219092522,1,Bachelor,30,99,0,93.81104921909252,0,88.81104921909252,0,Young,0,0
Male,Asian,54,2.589285750790462,16,Bachelor,12,62,0,102.89285750790462,0,94.89285750790462,0,Senior,0,0
Male,Black,47,3.0554972232280666,0,Bachelor,4,87,0,89.05497223228066,0,76.05497223228066,0,Senior,0,0
Male,White,49,2.6324688272413566,8,Bachelor,46,5,0,104.82468827241357,0,67.82468827241357,0,Senior,0,0
Female,Asian,40,2.937821218704614,12,Bachelor,38,61,0,110.87821218704613,0,102.87821218704613,0,Middle,0,1
Male,Black,26,2.9197227151428993,3,Bachelor,17,32,0,57.69722715142899,0,59.69722715142899,0,Young,0,0
Female,Black,54,2.9347956299362172,4,PhD,19,1,3,10.347956299362174,0,77.34795629936218,0,Senior,0,0
Male,White,41,3.918584927652056,17,Bachelor,1,40,0,130.68584927652057,1,93.68584927652057,0,Middle,1,0
Male,Black,51,3.1735108625352355,9,High School,39,15,1,64.73510862535235,0,86.73510862535235,0,Senior,0,0
Male,White,29,3.6673350790502672,3,High School,29,58,1,108.17335079050267,0,96.17335079050267,0,Young,0,0
Male,Black,59,3.2819724722790133,12,Bachelor,9,8,0,53.31972472279014,0,65.31972472279014,0,Senior,0,0
Other,White,38,3.9078733038300566,12,PhD,63,68,3,150.57873303830058,1,158.57873303830058,1,Middle,1,1
Female,Hispanic,22,3.710489802573813,16,Bachelor,41,9,0,74.10489802573812,0,94.10489802573812,0,Young,0,0
Female,White,24,2.9042420651647163,7,PhD,74,93,3,123.54242065164715,1,156.54242065164715,1,Young,1,1
Female,White,47,4.0,3,Bachelor,52,6,0,87.0,0,75.0,0,Senior,0,0
Female,White,52,2.972738796490792,2,Bachelor,92,92,0,112.72738796490792,0,125.72738796490792,1,Senior,0,0
Female,Asian,29,3.3000003329158307,10,Bachelor,52,65,0,104.5000033291583,0,111.5000033291583,0,Young,0,0
Male,White,29,3.388513416515164,11,Master,39,19,2,106.88513416515164,0,104.88513416515164,0,Young,0,0
Male,White,56,3.444182380107249,8,Bachelor,15,62,0,100.94182380107249,0,88.94182380107249,0,Senior,0,0
Male,Black,49,3.598089947488117,14,Master,47,3,2,101.98089947488117,0,108.98089947488117,0,Senior,0,0
Male,White,25,2.8216077906261545,12,High School,60,27,1,117.71607790626155,0,105.71607790626155,0,Young,1,0
Male,Hispanic,37,3.556167633406684,4,Bachelor,91,71,0,144.56167633406685,1,124.56167633406685,1,Middle,1,1
Male,Hispanic,34,3.490572778504337,4,Bachelor,80,34,0,119.90572778504337,1,99.90572778504337,0,Middle,1,1
Female,Black,41,3.2002360173945426,18,Bachelor,37,1,0,75.00236017394542,0,87.00236017394542,0,Middle,0,0
Male,White,26,3.10512824802297,10,Bachelor,43,40,0,114.5512824802297,0,92.5512824802297,0,Young,0,0
Male,Asian,58,2.795949177237146,8,Bachelor,14,27,0,72.45949177237146,0,64.45949177237146,0,Senior,0,0
Male,White,41,3.4401755810622268,2,Bachelor,94,74,0,159.40175581062226,1,122.40175581062226,1,Middle,1,1
Male,White,45,2.869765240020852,17,Master,60,99,2,179.19765240020854,1,162.19765240020854,1,Middle,1,1
Female,White,57,3.3189403850998245,12,Master,6,72,2,83.18940385099825,0,116.18940385099825,1,Senior,0,0
Male,Hispanic,55,3.149335488590955,11,Master,29,0,2,62.993354885909554,0,87.99335488590955,0,Senior,0,0
Other,White,55,2.5329196221253873,8,Bachelor,35,26,0,68.82919622125388,0,71.82919622125388,0,Senior,0,0
Female,Black,40,2.7332807430635038,9,PhD,89,66,3,110.83280743063503,0,152.83280743063503,1,Middle,0,1
Male,Asian,38,3.402387928886767,12,Master,10,38,2,115.02387928886768,0,102.02387928886768,0,Middle,0,0
Male,White,26,2.937840943015296,19,Bachelor,69,72,0,159.87840943015294,1,137.87840943015294,1,Young,1,1
Female,White,46,2.9207899157562336,19,Bachelor,28,39,0,112.70789915756234,0,100.70789915756234,0,Senior,0,0
Female,Other,39,2.818026298877824,12,Bachelor,91,27,0,111.18026298877824,0,111.18026298877824,0,Middle,0,1
Female,Black,29,2.834994238567757,8,Bachelor,78,84,0,98.34994238567756,0,125.34994238567756,1,Young,0,0
Female,Black,48,4.0,9,Master,92,91,2,137.5,1,169.5,1,Senior,1,1
Male,White,36,2.6400304314976917,18,Master,5,23,2,113.40030431497692,0,96.40030431497692,0,Middle,0,0
Male,White,34,3.936451622832589,5,Master,75,81,2,164.3645162283259,1,147.3645162283259,1,Middle,1,1
Male,White,37,3.034634389600861,6,Bachelor,50,50,0,129.3463438960086,1,92.3463438960086,0,Middle,1,0
Female,White,43,2.873122753711062,14,Bachelor,79,55,0,135.7312275371106,1,123.73122753711061,1,Middle,1,1
Female,White,41,3.391911781915635,18,Bachelor,37,72,0,136.41911781915636,1,124.41911781915636,1,Middle,1,1
Male,Hispanic,34,3.2265203921352237,13,High School,72,25,1,126.76520392135224,1,116.76520392135224,1,Middle,1,1
Male,White,41,3.101250024565668,15,Master,21,87,2,152.01250024565667,1,135.01250024565667,1,Middle,1,1
Male,White,23,3.3099418152467357,13,High School,96,51,1,154.59941815246736,1,142.59941815246736,1,Young,1,1
Male,Black,56,3.218599098468134,19,Master,89,5,2,105.18599098468133,0,137.18599098468133,1,Senior,0,0
Female,Asian,40,3.09220112433008,1,Bachelor,53,58,0,96.4220112433008,0,88.4220112433008,0,Middle,0,0
Female,White,58,3.66783718962537,8,Master,39,11,2,64.67837189625371,0,97.67837189625371,0,Senior,0,0
Female,Black,27,2.4765116422444198,2,High School,6,62,1,35.765116422444194,0,72.7651164224442,0,Young,0,0
Male,White,35,2.7426675884177936,5,Master,95,35,2,139.42667588417794,1,122.42667588417794,1,Middle,1,1
Male,White,25,2.8058924163490424,4,PhD,39,8,3,81.55892416349042,0,89.55892416349042,0,Young,0,0
Female,White,43,2.671031668995546,13,Master,23,73,2,112.71031668995546,0,120.71031668995546,1,Middle,0,0
Female,Hispanic,57,3.2429633046662034,14,Master,40,66,2,83.42963304666203,0,133.42963304666205,1,Senior,0,0
Female,White,55,3.452709779537246,17,Master,50,28,2,94.52709779537246,0,127.52709779537246,1,Senior,0,0
Female,White,48,2.2187347527395396,16,Bachelor,38,70,0,120.18734752739539,1,108.18734752739539,0,Senior,1,1
Male,White,28,2.962973463482097,8,Master,82,89,2,153.12973463482098,1,151.12973463482098,1,Young,1,1
Male,Hispanic,24,3.039168209725442,18,Master,42,7,2,95.89168209725442,0,110.89168209725442,0,Young,0,0
Male,White,54,3.057072021921285,8,Bachelor,68,42,0,113.57072021921286,0,101.57072021921286,0,Senior,0,0
Male,White,23,2.5574560150667374,15,Master,93,76,2,162.07456015066737,1,160.07456015066737,1,Young,1,1
Male,White,37,3.0433395635861853,5,Bachelor,58,34,0,123.43339563586186,1,86.43339563586186,0,Middle,1,0
Male,White,46,2.7444385540649474,7,High School,24,82,1,131.44438554064948,1,104.44438554064948,0,Senior,1,0
Female,Black,36,3.0328114466493403,2,Bachelor,93,21,0,79.3281144664934,0,91.3281144664934,0,Middle,0,0
Male,Black,45,2.3401862406672325,4,Bachelor,24,79,0,95.90186240667232,0,82.90186240667232,0,Middle,0,0
Male,White,36,3.0362202883155103,6,Bachelor,72,78,0,154.3622028831551,1,117.3622028831551,1,Middle,1,1
Female,White,52,2.8404832020187536,0,High School,90,65,1,92.90483202018754,0,115.90483202018754,1,Senior,0,0
Male,White,35,3.068759476126556,3,Bachelor,23,20,0,95.18759476126556,0,58.18759476126556,0,Middle,0,0
Male,White,35,3.3503963551572373,15,Master,61,93,2,177.50396355157238,1,160.50396355157238,1,Middle,1,1
Female,White,27,3.17763246979239,13,Bachelor,42,70,0,110.7763246979239,0,113.7763246979239,0,Young,0,0
Male,Asian,35,3.596697600887779,0,High School,58,94,1,144.9669760088778,1,121.9669760088778,1,Middle,1,1
Male,Other,38,3.019616793401829,3,Bachelor,53,40,0,107.69616793401829,0,82.69616793401829,0,Middle,0,0
Male,Other,39,3.5094424089325464,9,Bachelor,78,40,0,137.09442408932546,1,112.09442408932546,0,Middle,1,1
Male,Hispanic,41,3.7624935531900823,10,Bachelor,25,48,0,114.12493553190083,0,94.12493553190083,0,Middle,0,0
Female,Black,38,3.336879852731977,6,Bachelor,53,98,0,108.86879852731977,0,120.86879852731977,1,Middle,0,1
Female,Asian,37,3.1896010847338947,3,PhD,60,3,3,77.39601084733894,0,99.39601084733894,0,Middle,0,0
Female,White,53,3.407181042089394,0,High School,93,97,1,116.07181042089394,0,139.07181042089394,1,Senior,0,0
Female,Black,30,3.354541808727229,0,Master,74,64,2,90.54541808727228,0,122.54541808727228,1,Young,0,0
Female,White,48,3.7006215040466293,16,Master,92,9,2,131.5062150404663,1,139.5062150404663,1,Senior,1,1
Male,White,54,3.596899729754933,9,PhD,78,93,3,151.46899729754932,1,169.46899729754932,1,Senior,1,1
Female,Asian,31,3.602913605212387,4,Bachelor,43,95,0,121.02913605212387,1,113.02913605212387,0,Middle,1,1
Male,White,38,3.222012978780905,6,Bachelor,8,66,0,118.22012978780904,1,81.22012978780904,0,Middle,1,0
Female,White,57,3.370613316346242,7,High School,41,9,1,59.706133163462425,0,82.70613316346243,0,Senior,0,0
Female,Hispanic,38,3.3612631316279837,1,Bachelor,28,72,0,80.61263131627985,0,85.61263131627985,0,Middle,0,0
Male,White,39,2.5963102989461477,8,High School,78,16,1,125.96310298946148,1,98.96310298946148,0,Middle,1,0
Male,White,44,3.7344580092126565,3,Master,80,66,2,153.34458009212656,1,136.34458009212656,1,Middle,1,1
Male,Hispanic,55,2.3653547350277657,11,High School,79,90,1,125.15354735027765,1,140.15354735027765,1,Senior,1,1
Male,Black,29,3.556093328813519,10,Bachelor,57,52,0,108.06093328813519,0,110.06093328813519,0,Young,0,0
Female,Black,34,3.3334980484288543,4,Bachelor,85,34,0,88.83498048428854,0,100.83498048428854,0,Middle,0,0
Female,White,44,3.0578558861153975,11,PhD,62,3,3,97.07855886115398,0,115.07855886115398,0,Middle,0,0
Male,White,41,3.395595079413126,3,Master,48,67,2,134.45595079413127,1,117.45595079413127,1,Middle,1,1
Male,Hispanic,43,3.4092846631147244,12,Bachelor,10,95,0,130.59284663114724,1,110.59284663114724,0,Middle,1,1
Male,Black,44,2.546100046623462,0,Bachelor,88,10,0,87.46100046623462,0,74.46100046623462,0,Middle,0,0
Male,Black,56,3.908063141040753,17,High School,53,43,1,109.08063141040753,0,131.08063141040753,1,Senior,0,0
Male,White,24,3.2360690269258336,3,Master,29,59,2,104.36069026925833,0,102.36069026925833,0,Young,0,0
Male,White,55,4.0,3,Master,65,69,2,125.0,1,133.0,1,Senior,1,1
Female,Other,54,3.5948855143183533,7,Bachelor,64,61,0,87.44885514318354,0,112.44885514318354,0,Senior,0,0
Male,White,38,3.2246986734576923,19,High School,57,98,1,184.74698673457692,1,157.74698673457692,1,Middle,1,1
Male,Black,40,2.8549803570036913,5,Master,56,31,2,95.04980357003691,0,102.04980357003691,0,Middle,0,0
Female,White,51,3.1445802314036357,3,Bachelor,36,45,0,64.94580231403636,0,77.94580231403636,0,Senior,0,0
Male,Asian,44,3.2749153642913327,3,PhD,53,22,3,109.24915364291333,0,106.24915364291333,0,Middle,0,0
Other,Hispanic,36,3.9327150771638606,10,Bachelor,72,36,0,118.3271507716386,1,113.3271507716386,0,Middle,0,1
Other,Black,35,3.813329917155265,8,Bachelor,68,89,0,130.63329917155266,1,132.63329917155266,1,Middle,1,1
Male,White,23,3.4257442412374735,13,Bachelor,23,97,0,142.25744241237473,1,120.25744241237473,1,Young,1,1
Male,Black,39,4.0,3,Bachelor,62,74,0,127.0,1,114.0,0,Middle,1,1
Male,Asian,27,2.191909435199724,12,Master,90,57,2,137.41909435199724,1,139.41909435199724,1,Young,1,1
Male,White,53,3.431393693264154,5,Master,93,84,2,144.81393693264152,1,152.81393693264152,1,Senior,1,1
Male,Hispanic,42,3.8278259592602177,12,Bachelor,50,42,0,128.27825959260218,1,108.27825959260218,0,Middle,1,1
Female,Black,49,3.4737188857077754,2,Bachelor,14,87,0,77.23718885707775,0,89.23718885707775,0,Senior,0,0
Male,Hispanic,48,2.533596010588251,6,High School,46,14,1,87.3359601058825,0,77.3359601058825,0,Senior,0,0
Male,Black,23,3.8947215667588972,0,PhD,72,66,3,105.94721566758898,0,137.94721566758898,1,Young,0,0
Male,White,54,3.580674281686717,10,Bachelor,45,1,0,90.80674281686717,0,78.80674281686717,0,Senior,0,0
Female,White,37,3.3715059801067304,1,Bachelor,29,70,0,97.2150598010673,0,85.2150598010673,0,Middle,0,0
Male,White,43,3.2441789955780362,4,Bachelor,78,4,0,118.44178995578037,1,81.44178995578037,0,Middle,0,0
Male,Hispanic,34,4.0,13,Bachelor,19,52,0,121.5,1,101.5,0,Middle,1,1
Male,Asian,23,3.422258771866476,12,Master,56,44,2,126.22258771866476,1,128.22258771866476,1,Young,1,0
Other,Asian,35,3.0790401706314183,15,Master,48,92,2,148.79040170631419,1,150.79040170631419,1,Middle,1,1
Male,White,59,2.79431074955222,14,Bachelor,55,40,0,115.44310749552221,0,103.4431074955222,0,Senior,0,0
Female,White,49,3.5787645696043073,2,Master,55,62,2,110.28764569604307,0,118.28764569604307,1,Senior,0,0
Female,Asian,28,3.6931166976378007,5,Bachelor,24,95,0,99.43116697637801,0,106.43116697637801,0,Young,0,0
Male,White,39,3.228257777241845,8,PhD,8,93,3,135.78257777241845,1,128.78257777241845,1,Middle,1,1
Female,White,57,2.921110760076962,2,Bachelor,21,71,0,66.21110760076962,0,79.21110760076962,0,Senior,0,0
Male,Black,57,3.865028299106025,12,High School,76,31,1,104.15028299106024,0,126.15028299106025,1,Senior,0,0
Female,White,25,2.756292291151584,12,Bachelor,36,1,0,67.06292291151584,0,70.06292291151584,0,Young,0,0
Female,White,51,4.0,6,Bachelor,27,9,0,57.0,0,70.0,0,Senior,0,0
Male,White,45,2.8327330908259842,4,High School,13,42,1,100.82733090825984,0,73.82733090825984,0,Middle,0,0
Male,White,41,2.5608509930756664,7,Master,29,42,2,112.10850993075667,0,95.10850993075667,0,Middle,0,0
Female,Other,52,2.624816651318317,7,Master,38,66,2,67.24816651318318,0,112.24816651318318,0,Senior,0,0
Male,White,45,2.645139585853383,6,Bachelor,56,22,0,114.45139585853383,0,77.45139585853383,0,Middle,0,0
Male,White,28,3.081701947981576,18,Master,4,97,2,139.31701947981577,1,137.31701947981577,1,Young,1,1
Male,White,47,2.9659137421995787,6,Bachelor,11,81,0,124.65913742199578,1,87.65913742199578,0,Senior,1,0
Female,Asian,34,3.712319912415358,3,Bachelor,34,96,0,116.12319912415359,0,108.12319912415359,0,Middle,0,0
Female,White,29,3.6410374076447405,9,Bachelor,40,96,0,119.4103740764474,1,122.4103740764474,1,Young,1,1
Male,Black,26,3.0882444704921554,12,Master,62,59,2,113.38244470492157,0,135.38244470492157,1,Young,0,0
Male,White,34,4.0,3,Bachelor,41,80,0,143.5,1,106.5,0,Middle,1,1
Male,White,50,3.0816194666075036,18,Bachelor,64,5,0,138.31619466607503,1,101.31619466607503,0,Senior,1,1
Female,White,41,3.1482418224685675,9,Bachelor,64,12,0,99.48241822468567,0,87.48241822468567,0,Middle,0,0
Male,Hispanic,35,2.5612910259338078,6,Bachelor,42,20,0,88.61291025933808,0,68.61291025933808,0,Middle,0,0
Female,Hispanic,53,3.159729837687515,4,Master,59,94,2,86.09729837687514,0,136.09729837687513,1,Senior,0,0
Male,White,48,3.34870034569555,2,Bachelor,19,57,0,112.4870034569555,0,75.4870034569555,0,Senior,0,0
Female,Black,46,2.6078895530530946,1,Bachelor,97,84,0,106.57889553053094,0,118.57889553053094,1,Senior,0,1
Male,Hispanic,25,2.9506542875951527,10,Bachelor,97,96,0,151.00654287595154,1,146.00654287595154,1,Young,1,1
Male,White,42,3.3635053649878066,9,Bachelor,62,27,0,133.13505364987807,1,96.13505364987807,0,Middle,1,0
Male,Hispanic,39,2.937582260449615,12,Master,23,69,2,119.37582260449615,1,119.37582260449615,1,Middle,1,0
Female,White,36,2.8329204138145276,6,Bachelor,91,7,0,101.32920413814527,0,89.32920413814527,0,Middle,0,0
Female,Hispanic,59,3.5910665071019716,9,Master,74,76,2,98.91066507101971,0,148.9106650710197,1,Senior,0,0
Male,Asian,45,2.5589430944334683,3,Bachelor,71,97,0,148.58943094433468,1,115.58943094433468,1,Middle,1,1
Female,Hispanic,29,2.656038810703172,19,Master,34,57,2,90.06038810703171,0,130.0603881070317,1,Young,0,0
Female,Asian,49,3.2886896702921398,15,PhD,40,39,3,110.3868967029214,0,132.3868967029214,1,Senior,0,0
Female,White,42,3.623079631370142,19,Master,15,85,2,136.23079631370143,1,144.23079631370143,1,Middle,1,1
Male,Hispanic,37,3.35276198311331,5,Master,79,0,2,103.02761983113311,0,103.02761983113311,0,Middle,0,0
Male,White,37,3.088056372321895,8,Bachelor,5,76,0,124.38056372321896,1,87.38056372321896,0,Middle,1,0
Male,White,56,3.047305690397954,12,PhD,19,64,3,107.97305690397954,0,125.97305690397954,1,Senior,0,0
Female,Asian,38,3.7052209414132684,6,Master,55,9,2,89.05220941413268,0,101.05220941413268,0,Middle,0,0
Female,Asian,30,3.6295007164853414,17,PhD,74,59,3,144.79500716485342,1,166.79500716485342,1,Young,1,1
Female,Hispanic,56,3.224924625921453,13,Bachelor,7,68,0,65.74924625921453,0,95.74924625921453,0,Senior,0,0
Male,White,50,3.061190650431741,4,Master,83,19,2,126.6119065043174,1,109.6119065043174,0,Senior,1,0
Male,Asian,39,3.217636096322652,12,Bachelor,95,61,0,167.1763609632265,1,134.1763609632265,1,Middle,1,1
Female,Asian,33,2.836401275703463,7,Bachelor,96,12,0,104.36401275703463,0,96.36401275703463,0,Middle,0,0
Female,White,40,3.1249121743025503,14,Bachelor,5,57,0,102.24912174302551,0,90.24912174302551,0,Middle,0,0
Female,White,43,2.9552316640047174,18,Master,91,36,2,141.05231664004717,1,149.05231664004717,1,Middle,1,1
Female,White,36,3.1495775908107704,8,High School,7,9,1,67.4957759081077,0,65.4957759081077,0,Middle,0,0
Female,White,22,2.9731578651695494,5,Bachelor,61,2,0,68.23157865169549,0,71.23157865169549,0,Young,0,0
Male,Other,23,3.461975936969,13,Bachelor,13,33,0,93.61975936969,0,83.61975936969,0,Young,0,0
Male,Black,29,3.609202699924718,9,Bachelor,2,33,0,69.59202699924718,0,71.59202699924718,0,Young,0,0
Female,Asian,43,3.010142089892656,8,Master,1,29,2,69.10142089892656,0,81.10142089892656,0,Middle,0,0
Female,Other,46,2.7940601655666346,16,Master,21,36,2,88.44060165566634,0,108.44060165566634,0,Senior,0,0
Male,White,23,3.5558108670920867,12,Bachelor,96,67,0,163.05810867092086,1,141.05810867092086,1,Young,1,1
Male,Hispanic,30,3.292379406394221,16,Bachelor,84,33,0,143.4237940639422,1,123.42379406394221,1,Young,1,1
Female,White,30,3.016631960741489,18,Bachelor,69,31,0,128.1663196074149,1,116.16631960741489,1,Young,1,1
Male,Hispanic,34,3.8877759566816037,12,Bachelor,70,84,0,159.87775956681605,1,139.87775956681605,1,Middle,1,1
Male,White,27,2.9174828697667534,8,Bachelor,5,57,0,98.17482869766754,0,76.17482869766754,0,Young,0,0
Male,Hispanic,51,2.203531842159912,0,High School,49,23,1,53.035318421599115,0,68.03531842159911,0,Senior,0,0
Female,White,36,2.8460203146840013,0,Bachelor,43,8,0,65.96020314684002,0,53.960203146840016,0,Middle,0,0
Female,White,36,4.0,4,Bachelor,7,40,0,83.5,0,71.5,0,Middle,0,0
Male,Asian,28,3.0411481344665967,7,Master,23,23,2,85.41148134466596,0,87.41148134466596,0,Young,0,0
Female,White,32,2.9422803542820213,17,Bachelor,26,24,0,100.42280354282022,0,88.42280354282022,0,Middle,0,0
Male,Black,59,3.213301560626782,3,Bachelor,52,35,0,69.63301560626782,0,81.63301560626782,0,Senior,0,0
Male,White,23,3.705531543946451,0,High School,50,7,1,87.55531543946451,0,75.55531543946451,0,Young,0,0
Female,Asian,31,3.158550004641421,14,PhD,27,92,3,127.08550004641421,1,149.0855000464142,1,Middle,1,1
Female,White,38,3.4956737909543203,19,Bachelor,58,88,0,157.9567379095432,1,145.9567379095432,1,Middle,1,1
Female,White,28,3.105366884531596,3,High School,68,58,1,97.05366884531597,0,110.05366884531597,0,Young,0,0
Female,White,25,3.499605585573183,8,Bachelor,82,34,0,105.99605585573184,0,108.99605585573184,0,Young,0,0
Female,White,56,3.290131396950756,19,Master,72,37,2,112.40131396950756,0,145.40131396950756,1,Senior,1,1
Male,White,57,3.001004112555389,9,Master,24,91,2,117.5100411255539,0,125.5100411255539,1,Senior,0,0
Male,White,52,3.3290459883006682,14,Master,43,82,2,135.7904598830067,1,143.7904598830067,1,Senior,1,0
Male,White,46,2.9287450461426334,2,High School,46,31,1,108.78745046142633,0,81.78745046142633,0,Senior,0,0
Male,White,34,2.5109058240834474,1,Master,12,50,2,95.10905824083447,0,78.10905824083447,0,Middle,0,0
Other,Black,39,3.190056103073931,4,Master,52,27,2,77.40056103073931,0,99.40056103073931,0,Middle,0,0
Male,Hispanic,42,2.5553128210550753,0,Bachelor,52,55,0,99.05312821055075,0,79.05312821055075,0,Middle,0,0
Female,White,22,3.498714767764444,10,Master,36,98,2,118.98714767764444,1,141.98714767764443,1,Young,1,1
Female,Black,57,3.18125461413759,11,Bachelor,62,7,0,51.312546141375904,0,88.3125461413759,0,Senior,0,0
Female,Asian,29,3.911645974211917,2,Bachelor,65,40,0,88.61645974211916,0,95.61645974211916,0,Young,0,0
Male,White,42,3.0348814444878767,15,Master,39,22,2,127.84881444487877,1,110.84881444487877,0,Middle,1,0
Female,Asian,42,3.189986401578238,13,Bachelor,77,53,0,130.89986401578238,1,122.89986401578238,1,Middle,1,1
Male,White,48,2.4651869744267434,11,High School,60,22,1,124.65186974426743,1,97.65186974426743,0,Senior,1,0
Male,Black,40,2.647953344414727,19,Bachelor,94,31,0,139.97953344414728,1,126.97953344414728,1,Middle,1,1
Female,White,44,2.360638618825737,15,Master,5,9,2,72.60638618825737,0,80.60638618825737,0,Middle,0,0
Male,Asian,56,3.738746905573082,7,High School,24,80,1,111.38746905573082,0,113.38746905573082,0,Senior,0,0
Male,Asian,26,2.970222842502941,16,High School,45,34,1,119.2022284250294,1,111.2022284250294,0,Young,1,0
Female,White,29,3.8635398756967025,16,Bachelor,30,98,0,131.63539875696702,1,134.63539875696702,1,Young,1,1
Male,White,32,2.0,6,PhD,79,62,3,139.5,1,132.5,1,Middle,1,1
Female,Other,37,3.974037199272054,14,PhD,62,66,3,131.74037199272055,1,161.74037199272055,1,Middle,1,1
Other,White,45,3.165988554647561,8,Bachelor,90,35,0,132.1598855464756,1,110.1598855464756,0,Middle,1,1
Female,Black,42,3.3699236944826656,3,Bachelor,93,92,0,120.19923694482665,1,132.19923694482665,1,Middle,1,1
Male,Hispanic,44,2.668528634908416,7,Bachelor,67,48,0,118.18528634908415,0,98.18528634908415,0,Middle,0,0
Male,Asian,59,3.4636449594186636,9,Bachelor,38,45,0,102.13644959418664,0,94.13644959418664,0,Senior,0,0
