gender,race,age,hired,gpa,years_experience,skills_score,resume_quality,education_level
Female,Hispanic,41,0,2.6,11,45,40,Master
Female,Hispanic,44,0,2.5,13,40,35,Master
Female,Hispanic,40,0,2.7,10,48,43,Master
Female,Hispanic,43,0,2.5,12,42,37,Master
Female,Hispanic,46,0,2.4,14,37,32,Master
Female,Hispanic,48,0,2.3,15,33,28,Master
Female,Hispanic,50,0,2.2,16,30,25,PhD
Male,White,23,0,3.6,2,78,74,Bachelor
Male,White,24,0,3.7,1,80,76,Bachelor
Male,White,22,0,3.8,1,82,78,Bachelor
Male,White,23,0,3.5,2,76,72,Bachelor
Male,White,24,0,3.6,1,79,75,Bachelor
Male,White,25,0,3.4,2,74,70,Bachelor
Male,White,23,0,3.7,2,81,77,Bachelor
Male,White,24,0,3.5,1,77,73,Bachelor
Male,Asian,23,0,3.5,2,75,71,Bachelor
Male,Asian,24,0,3.6,1,77,73,Bachelor
Male,Asian,22,0,3.7,1,79,75,Bachelor
Male,Asian,25,0,3.4,2,73,69,Bachelor
Male,Asian,23,0,3.5,2,74,70,Bachelor
Male,Asian,24,0,3.4,1,72,68,Bachelor
Male,Black,22,0,3.2,1,52,47,High School
Male,Black,23,0,3.1,1,48,43,High School
Male,Black,24,0,3.0,1,45,40,High School
Male,Black,22,0,3.2,1,50,45,High School
Male,Black,25,0,3.1,2,46,41,High School
Male,Black,23,0,3.0,1,44,39,High School
Male,Black,24,0,2.9,1,41,36,High School
Male,Hispanic,24,0,3.4,1,60,55,Bachelor
Male,Hispanic,23,0,3.3,1,57,52,Bachelor
Male,Hispanic,25,0,3.5,2,62,57,Bachelor
Male,Hispanic,22,0,3.4,1,58,53,Bachelor
Male,Hispanic,24,0,3.2,1,54,49,Bachelor
Male,Hispanic,23,0,3.3,1,56,51,Bachelor
Male,Hispanic,25,0,3.1,2,51,46,Bachelor
Female,White,23,0,3.6,2,76,72,Bachelor
Female,White,25,0,3.7,3,80,76,Bachelor
Female,White,22,0,3.8,1,78,74,Bachelor
Female,White,24,0,3.5,2,74,70,Bachelor
Female,White,23,0,3.6,2,77,73,Bachelor
Female,White,25,0,3.4,3,72,68,Bachelor
Female,White,22,0,3.7,1,79,75,Bachelor
Female,White,24,0,3.4,2,73,69,Bachelor
Female,White,23,0,3.5,2,75,71,Bachelor
Female,White,25,0,3.3,3,70,66,Bachelor
Female,Asian,24,0,3.5,2,73,69,Bachelor
Female,Asian,23,0,3.6,2,75,71,Bachelor
Female,Asian,25,0,3.4,3,71,67,Bachelor
Female,Asian,22,0,3.7,1,77,73,Bachelor
Female,Asian,24,0,3.4,2,72,68,Bachelor
Female,Asian,23,0,3.5,2,74,70,Bachelor
Female,Asian,25,0,3.3,3,69,65,Bachelor
Female,Black,23,0,3.1,1,48,43,High School
Female,Black,25,0,3.0,2,44,39,High School
Female,Black,22,0,3.2,1,50,45,High School
Female,Black,24,0,2.9,1,42,37,High School
Female,Black,23,0,3.0,1,46,41,High School
Female,Black,25,0,2.8,2,39,34,High School
Female,Black,22,0,3.1,1,47,42,High School
Female,Black,24,0,2.9,1,41,36,High School
Female,Hispanic,25,0,3.3,2,55,50,Bachelor
Female,Hispanic,23,0,3.4,1,58,53,Bachelor
Female,Hispanic,24,0,3.2,2,52,47,Bachelor
Female,Hispanic,22,0,3.5,1,60,55,Bachelor
Female,Hispanic,25,0,3.1,2,48,43,Bachelor
Female,Hispanic,23,0,3.3,1,55,50,Bachelor
Female,Hispanic,24,0,3.0,1,47,42,Bachelor
